t, x, z, xf, vf, P11, P12, P22
67.000000, 26.611140, 27.518461, 25.534017, 0.543180, 0.131906, 0.009322, 0.001366
68.000000, 27.414214, 26.438947, 26.124912, 0.546552, 0.131900, 0.009322, 0.001366
69.000000, 28.162939, 29.280730, 27.015613, 0.570873, 0.131895, 0.009321, 0.001365
70.000000, 28.847759, 29.387779, 27.824059, 0.587662, 0.131890, 0.009320, 0.001365
71.000000, 29.461571, 30.292887, 28.659819, 0.605195, 0.131885, 0.009320, 0.001365
72.000000, 30.000000, 31.261094, 29.528258, 0.623797, 0.131881, 0.009320, 0.001365
73.000000, 30.461571, 30.485921, 30.196084, 0.626909, 0.131877, 0.009319, 0.001365
74.000000, 30.847759, 29.343701, 30.627914, 0.613123, 0.131873, 0.009319, 0.001365
75.000000, 31.162939, 31.450367, 31.268642, 0.615074, 0.131870, 0.009318, 0.001365
76.000000, 31.414214, 31.591449, 31.845176, 0.612351, 0.131867, 0.009318, 0.001365
77.000000, 31.611140, 31.503788, 32.331763, 0.603464, 0.131864, 0.009318, 0.001365
78.000000, 31.765367, 34.448213, 33.134731, 0.617561, 0.131862, 0.009318, 0.001365
79.000000, 31.890181, 31.823125, 33.497913, 0.599586, 0.131860, 0.009318, 0.001365
80.000000, 32.000000, 31.603994, 33.768710, 0.576352, 0.131858, 0.009318, 0.001365
81.000000, 32.109819, 32.161339, 34.057124, 0.556005, 0.131857, 0.009318, 0.001365
82.000000, 32.234633, 31.598642, 34.215652, 0.527918, 0.131856, 0.009318, 0.001365
83.000000, 32.388860, 32.841995, 34.492838, 0.510200, 0.131855, 0.009318, 0.001365
84.000000, 32.585786, 32.497258, 34.672641, 0.486852, 0.131854, 0.009317, 0.001365
85.000000, 32.837061, 34.658911, 35.093490, 0.482188, 0.131853, 0.009317, 0.001365
86.000000, 33.152241, 30.675663, 34.929598, 0.436532, 0.131853, 0.009317, 0.001365
87.000000, 33.538429, 33.223133, 35.083571, 0.416565, 0.131852, 0.009317, 0.001365
88.000000, 34.000000, 33.268070, 35.205834, 0.395768, 0.131852, 0.009317, 0.001365
89.000000, 34.538429, 33.981043, 35.387928, 0.380668, 0.131852, 0.009317, 0.001365
90.000000, 35.152241, 36.608548, 35.879346, 0.388495, 0.131852, 0.009317, 0.001365
91.000000, 35.837061, 34.614106, 36.049793, 0.373086, 0.131851, 0.009317, 0.001365
